Species,Family ,brain.g,body.g,Reference
Aethia cristatella,Alcidae,2.56,259.5,"Fristoe et al., 2017"
Aethia psittacula,Alcidae,2.64,270,"Sayol et al., 2018"
Aethia pusilla,Alcidae,1.53,84.6,"Iwaniuk & Nelson, 2003"
Alca torda,Alcidae,5.57,726,"Iwaniuk & Nelson, 2003"
Alle alle,Alcidae,2.18,171,"Iwaniuk & Nelson, 2003"
Brachyramphus marmoratus,Alcidae,2.43,220,"Iwaniuk & Nelson, 2003"
Cepphus columba,Alcidae,4.04,530,"Fristoe et al., 2017"
Cepphus grylle,Alcidae,3.74,378,"Iwaniuk & Nelson, 2003"
Cerorhinca monocerata,Alcidae,4.8,483,"Iwaniuk & Nelson, 2003"
Fratercula arctica,Alcidae,4.2,476.88,"Iwaniuk & Nelson, 2003"
Fratercula cirrhata,Alcidae,6.12,775,"Fristoe et al., 2017"
Fratercula corniculata,Alcidae,5.38,536.5,"Iwaniuk & Nelson, 2003"
Ptychoramphus aleuticus,Alcidae,2.13,184,"Iwaniuk & Nelson, 2003"
Synthliboramphus antiquus,Alcidae,2.52,218,"Iwaniuk & Nelson, 2003"
Uria aalge,Alcidae,5.94,992.5,"Iwaniuk & Nelson, 2003"
Uria lomvia,Alcidae,5.49,964,"Iwaniuk & Nelson, 2003"
Diomedea exulans,Diomedeidae,29.27,7330.65,"Iwaniuk & Nelson, 2003"
Phoebastria nigripes,Diomedeidae,16.37,3195,"Iwaniuk & Nelson, 2003"
Phoebetria palpebrata,Diomedeidae,17.55,2785,"Iwaniuk & Nelson, 2003"
Thalassarche cauta,Diomedeidae,20.04,3935,"Iwaniuk & Nelson, 2003"
Thalassarche chrysostoma,Diomedeidae,19.84,3507.5,"Iwaniuk & Nelson, 2003"
Thalassarche melanophrys,Diomedeidae,18.52,3232,"Iwaniuk & Nelson, 2003"
Fregata minor,Fregatidae,9.56,1296,"Iwaniuk & Nelson, 2003"
Fregetta grallaria,Hydrobatidae,0.93,45.96,"Iwaniuk & Nelson, 2003"
Halocyptena microsoma,Hydrobatidae,0.53,19.72,"Iwaniuk & Nelson, 2003"
Nesofregetta fuliginosa,Hydrobatidae,0.91,64.57,"Iwaniuk & Nelson, 2003"
Oceanites oceanicus,Hydrobatidae,0.74,33.7,"Iwaniuk & Nelson, 2003"
Oceanodroma leucorhoa,Hydrobatidae,0.92,36.93,"Iwaniuk & Nelson, 2003"
Oceanodroma tethys,Hydrobatidae,0.62,26.9,"Iwaniuk & Nelson, 2003"
Pelagodroma marina,Hydrobatidae,1,35,"Fristoe et al., 2017"
Anous minutus,Laridae,1.56,102.2,"Franklin et al., 2014"
Anous stolidus,Laridae,2.31,189,"Iwaniuk & Nelson, 2003"
Chlidonias hybrida,Laridae,1.53,83.9,"Iwaniuk & Nelson, 2003"
Gygis alba,Laridae,2,109.9,"Iwaniuk & Nelson, 2003"
Larus argentatus,Laridae,6.93,1080.02,"Iwaniuk & Nelson, 2003"
Larus atricilla,Laridae,3.23,308,"Sayol et al., 2018"
Larus californicus,Laridae,5.25,670.25,"Fristoe et al., 2017"
Larus canus,Laridae,4.22,402.92,"Sayol et al., 2018"
Larus crassirostris,Laridae,4.77,561,"Fristoe et al., 2017"
Larus delawarensis,Laridae,4.6,518.5,"Iwaniuk & Nelson, 2003"
Larus dominicanus,Laridae,6.85,941,"Iwaniuk & Nelson, 2003"
Larus fuscus,Laridae,6.09,824.4,"Sayol et al., 2018"
Larus glaucescens,Laridae,7.89,1063,"Iwaniuk & Nelson, 2003"
Larus hartlaubii,Laridae,3.18,271.5,"Sayol et al., 2018"
Larus heermanni,Laridae,3.99,507,"Fristoe et al., 2017"
Larus hyperboreus,Laridae,7.74,1454.66,"Sayol et al., 2018"
Larus maculipennis,Laridae,3.37,339,"Sayol et al., 2018"
Larus marinus,Laridae,8.5,1658.5,"Sayol et al., 2018"
Larus melanocephalus,Laridae,3.981,256,"Sayol et al., 2020"
Larus minutus,Laridae,1.63,125,"Sayol et al., 2018"
Larus novaehollandiae,Laridae,3.23,271.5,"Iwaniuk & Nelson, 2003"
Larus occidentalis,Laridae,7.14,894.56,"Fristoe et al., 2017"
Larus pacificus,Laridae,7.04,1313.5,"Franklin et al., 2014"
Larus philadelphia,Laridae,2.34,211,"Sayol et al., 2018"
Larus pipixcan,Laridae,2.67,287,"Sayol et al., 2018"
Larus ridibundus,Laridae,3.16,284,"Iwaniuk & Nelson, 2003"
Larus schistisagus,Laridae,7.72,1323,"Sayol et al., 2018"
Larus thayeri,Laridae,6.82,945.5,"Sayol et al., 2018"
Leucophaeus scoresbii,Laridae,4.81,524.25,"Iwaniuk & Nelson, 2003"
Pagophila eburnea,Laridae,5,529.5,"Iwaniuk & Nelson, 2003"
Phaetusa simplex,Laridae,3.11,235,"Iwaniuk & Nelson, 2003"
Procelsterna cerulea,Laridae,1.16,50.6,"Iwaniuk & Nelson, 2003"
Rhodostethia rosea,Laridae,2.23,223.42,"Iwaniuk & Nelson, 2003"
Rissa brevirostris,Laridae,4.22,377,"Fristoe et al., 2017"
Rissa tridactyla,Laridae,4.47,477.48,"Iwaniuk & Nelson, 2003"
Rynchops niger,Laridae,2.74,301.5,"Iwaniuk & Nelson, 2003"
Sterna albifrons,Laridae,1.07,57,"Sayol et al., 2018"
Sterna aleutica,Laridae,1.78,132.4,"Sayol et al., 2018"
Sterna anaethetus,Laridae,2.03,133.5,"Fristoe et al., 2017"
Sterna bergii,Laridae,3.48,342,"Iwaniuk & Nelson, 2003"
Sterna caspia,Laridae,4.86,666,"Sayol et al., 2018"
Sterna dougallii,Laridae,1.59,112,"Fristoe et al., 2017"
Sterna forsteri,Laridae,2.04,149,"Sayol et al., 2018"
Sterna fuscata,Laridae,2.4,185.54,"Iwaniuk & Nelson, 2003"
Sterna hirundo,Laridae,1.95,139,"Iwaniuk & Nelson, 2003"
Sterna lunata,Laridae,2.11,108.8,"Fristoe et al., 2017"
Sterna maxima,Laridae,3.98,438.4,"Sayol et al., 2018"
Sterna paradisaea,Laridae,1.61,110,"Fristoe et al., 2017"
Sterna sandvicensis,Laridae,2.53,192,"Sayol et al., 2018"
Sterna sumatrana,Laridae,1.36,106,"Sayol et al., 2018"
Sterna trudeaui,Laridae,2.15,153,"Sayol et al., 2018"
Sterna vittata,Laridae,2.08,139,"Franklin et al., 2014"
Xema sabini,Laridae,2.29,198,"Iwaniuk & Nelson, 2003"
Pelecanoides georgicus,Pelecanoididae,1.52,114.15,"Iwaniuk & Nelson, 2003"
Pelecanoides urinatrix,Pelecanoididae,1.75,133.4,"Iwaniuk & Nelson, 2003"
Phaethon rubricauda,Phaethontidae,4.68,672,"Iwaniuk & Nelson, 2003"
Phalacrocorax africanus,Phalacrocoracidae,4.69,545,"Iwaniuk & Nelson, 2003"
Phalacrocorax atriceps,Phalacrocoracidae,14.64,3050,"Sayol et al., 2018"
Phalacrocorax carbo,Phalacrocoracidae,10.83,2302.41,"Iwaniuk & Nelson, 2003"
Phalacrocorax fuscescens,Phalacrocoracidae,9.21,1515,"Iwaniuk & Nelson, 2003"
Phalacrocorax harrisi,Phalacrocoracidae,14.07,3050,"Iwaniuk et al., 2004"
Phalacrocorax melanoleucos,Phalacrocoracidae,5.53,733.5,"Iwaniuk & Nelson, 2003"
Phalacrocorax sulcirostris,Phalacrocoracidae,5.84,1030.5,"Iwaniuk & Nelson, 2003"
Phalacrocorax urile,Phalacrocoracidae,8.52,2137.5,"Iwaniuk & Nelson, 2003"
Phalacrocorax varius,Phalacrocoracidae,9.54,1955.5,"Iwaniuk & Nelson, 2003"
Bulweria bulwerii,Procellariidae,1.39,99,"Iwaniuk & Nelson, 2003"
Calonectris diomedea,Procellariidae,5.1,585.63,"Iwaniuk & Nelson, 2003"
Daption capense,Procellariidae,5.2,430,"Iwaniuk & Nelson, 2003"
Fulmarus glacialis,Procellariidae,6.56,613,"Iwaniuk & Nelson, 2003"
Fulmarus glacialoides,Procellariidae,7.73,790.75,"Iwaniuk & Nelson, 2003"
Halobaena caerulea,Procellariidae,2.87,173.38,"Iwaniuk & Nelson, 2003"
Lugensa brevirostris,Procellariidae,4.41,297.51,"Iwaniuk & Nelson, 2003"
Macronectes giganteus,Procellariidae,18.59,3697.5,"Iwaniuk & Nelson, 2003"
Pachyptila belcheri,Procellariidae,2.07,92.6,"Iwaniuk & Nelson, 2003"
Pachyptila desolata,Procellariidae,2.18,151.5,"Iwaniuk & Nelson, 2003"
Pachyptila salvini,Procellariidae,2.13,159,"Iwaniuk & Nelson, 2003"
Pachyptila turtur,Procellariidae,2.07,80.6,"Iwaniuk & Nelson, 2003"
Pagodroma nivea,Procellariidae,4.55,314,"Iwaniuk & Nelson, 2003"
Procellaria aequinoctialis,Procellariidae,9.31,1236.25,"Iwaniuk & Nelson, 2003"
Procellaria cinerea,Procellariidae,8.8,1131,"Iwaniuk & Nelson, 2003"
Pterodroma lessonii,Procellariidae,6.08,698,"Iwaniuk & Nelson, 2003"
Pterodroma leucoptera,Procellariidae,2.57,136,"Iwaniuk & Nelson, 2003"
Pterodroma macroptera,Procellariidae,5.06,532.5,"Iwaniuk & Nelson, 2003"
Puffinus gavia,Procellariidae,3.03,229,"Iwaniuk & Nelson, 2003"
Puffinus griseus,Procellariidae,5.5,770,"Iwaniuk & Nelson, 2003"
Puffinus pacificus,Procellariidae,4.11,383.4,"Iwaniuk & Nelson, 2003"
Puffinus tenuirostris,Procellariidae,4.66,556.7,"Iwaniuk & Nelson, 2003"
Thalassoica antarctica,Procellariidae,6.92,688,"Iwaniuk & Nelson, 2003"
Aptenodytes forsteri,Spheniscidae,47.85,33850,"Iwaniuk & Nelson, 2003"
Aptenodytes patagonicus,Spheniscidae,28.9,11751,"Iwaniuk & Nelson, 2003"
Eudyptes chrysocome,Spheniscidae,12.87,2330,"Iwaniuk & Nelson, 2003"
Eudyptes schlegeli,Spheniscidae,19.17,4250,"Fristoe et al., 2017"
Eudyptula minor,Spheniscidae,7.62,1110.04,"Iwaniuk & Nelson, 2003"
Pygoscelis adeliae,Spheniscidae,20.37,4850,"Iwaniuk & Nelson, 2003"
Spheniscus humboldti,Spheniscidae,16.56,4379,"Iwaniuk & Nelson, 2003"
Catharacta maccormicki,Stercorariidae,7.03,1349,"Iwaniuk & Nelson, 2003"
Stercorarius longicaudus,Stercorariidae,3.07,288.5,"Fristoe et al., 2017"
Stercorarius parasiticus,Stercorariidae,4.03,445.5,"Iwaniuk & Nelson, 2003"
Stercorarius pomarinus,Stercorariidae,4.96,694,"Iwaniuk & Nelson, 2003"
Morus serrator,Sulidae,16.27,1745.5,"Iwaniuk & Nelson, 2003"
Sula leucogaster,Sulidae,9.37,1298.5,"Iwaniuk & Nelson, 2003"
