Order,Family,Species,Brain mass (g),Body mass (g),Flapper,Migrant,Reference No.
PASSERIFORMES,Sylviidae,Abroscopus_albogularis,0.33152,5,1,0,10
PASSERIFORMES,Meliphagidae,Acanthagenys_rufogularis,1.20176,47.8,1,0,10
PASSERIFORMES,Acanthisittidae,Acanthisitta_chloris,0.34340292,6.95,1,0,13
PASSERIFORMES,Acanthizidae,Acanthiza_chrysorrhoa,0.44548,9.4,1,0,10
PASSERIFORMES,Acanthizidae,Acanthiza_ewingii,0.65268,4,1,0,22
PASSERIFORMES,Acanthizidae,Acanthiza_inornata,0.45584,8.5,1,0,22
PASSERIFORMES,Acanthizidae,Acanthiza_lineata,0.52836,6.7,1,0,10
PASSERIFORMES,Acanthizidae,Acanthiza_nana,0.38332,7.25,1,0,22
PASSERIFORMES,Acanthizidae,Acanthiza_pusilla,0.4662,8.15,1,0,10
PASSERIFORMES,Acanthizidae,Acanthiza_reguloides,0.40404,7.5,1,0,10
PASSERIFORMES,Acanthizidae,Acanthiza_uropygialis,0.37296,6.4,1,0,10
PASSERIFORMES,Meliphagidae,Acanthorhynchus_superciliosus,0.81831568,9.75,1,0,13
PASSERIFORMES,Meliphagidae,Acanthorhynchus_tenuirostris,0.49728,10.5,1,0,10
ANSERIFORMES,Anatidae,Anas_bahamensis,3.9,532.5,1,0,14
ACCIPITRIFORMES,Accipitridae,Accipiter_cirrocephalus,2.47604,172,0,0,10
ACCIPITRIFORMES,Accipitridae,Accipiter_cooperii,4.8692,439,0,1,10
ACCIPITRIFORMES,Accipitridae,Accipiter_fasciatus,4.662,380.25,0,0,10
ACCIPITRIFORMES,Accipitridae,Accipiter_gentilis,8.16368,901.67,0,0,10
ACCIPITRIFORMES,Accipitridae,Accipiter_haplochrous,4.05076,204.5,0,0,10
ANSERIFORMES,Anatidae,Anas_luzonica,5.1,866.75,1,0,14
ACCIPITRIFORMES,Accipitridae,Accipiter_novaehollandiae,4.91064,558.08,0,0,10
ACCIPITRIFORMES,Accipitridae,Accipiter_striatus,2.31028,135.73,0,1,10
ANSERIFORMES,Anatidae,Anas_penelope,4.2,757,1,1,14
BUCEROTIFORMES,Bucerotidae,Aceros_cassidix,18.84484,2360,1,0,7
BUCEROTIFORMES,Bucerotidae,Aceros_leucocephalus,13.27116,1086,1,0,10
BUCEROTIFORMES,Bucerotidae,Aceros_plicatus,15.97512,1706.5,1,0,10
BUCEROTIFORMES,Bucerotidae,Aceros_undulatus,18.907,2343.75,1,0,10
PASSERIFORMES,Sturnidae,Acridotheres_tristis,2.56928,118.25,1,0,10
PASSERIFORMES,Sylviidae,Acrocephalus_arundinaceus,0.94276,26.75,1,1,10
PASSERIFORMES,Sylviidae,Acrocephalus_schoenobaenus,0.4662,10.8,1,1,10
ANSERIFORMES,Anatidae,Anas_querquedula,2.8,334,1,1,14
GALLIFORMES,Numididae,Acryllium_vulturinum,4.7138,1330,1,0,10
CHARADRIIFORMES,Scolopacidae,Actitis_hypoleucos,0.89096,48,1,1,10
CHARADRIIFORMES,Scolopacidae,Actitis_macularius,0.70448,48.24,1,1,21
Charadriiformes,Jacanidae,Actophilornis_africanus,0.822584,137,1,0,13
PODICIPEDIFORMES,Podicipedidae,Aechmophorus_occidentalis,3.84356,1147.72,1,1,10
ANSERIFORMES,Anatidae,Anas_sibilatrix,4.3,830,1,1,14
PASSERIFORMES,Aegithalidae,Aegithalos_concinnus,0.38332,6.1,1,0,10
PASSERIFORMES,Aegithinidae,Aegithina_tiphia,0.69412,12,1,0,10
STRIGIFORMES,Strigidae,Aegolius_acadicus,3.48096,73.12,1,1,10
STRIGIFORMES,Strigidae,Aegolius_funereus,4.16472,91.17,1,0,10
APODIFORMES,Aegothelidae,Aegotheles_cristatus,1.47112,42.8,1,0,10
ACCIPITRIFORMES,Accipitridae,Aegypius_monachus,29.267,9625,0,1,21
APODIFORMES,Apodidae,Aeronautes_saxatalis,0.69412,31.2,1,1,10
CHARADRIIFORMES,Alcidae,Aethia_cristatella,2.55892,259.5,1,1,7
CHARADRIIFORMES,Alcidae,Aethia_psittacula,2.6418,270,1,1,21
CHARADRIIFORMES,Alcidae,Aethia_pusilla,1.53328,84.6,1,1,10
PASSERIFORMES,Nectariniidae,Aethopyga_nipalensis,0.34188,6,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_canus,1.1914,26.5,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_fischeri,2.0202,48.3,1,1,10
PSITTACIFORMES,Psittacidae,Agapornis_lilianae,1.58508,37.3,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_nigrigenis,1.9684,40.5,1,0,9
PSITTACIFORMES,Psittacidae,Agapornis_personatus,1.93732,52.5,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_pullarius,1.49184,39.3,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_roseicollis,1.92696,54.5,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_swindernianus,1.58508,40,1,0,10
PSITTACIFORMES,Psittacidae,Agapornis_taranta,2.05128,57.5,1,0,10
PASSERIFORMES,Icteridae,Agelaioides_badius,1.53328,45.3,1,0,10
PASSERIFORMES,Icteridae,Agelaius_phoeniceus,1.75084,65.49,1,1,10
ANSERIFORMES,Anatidae,Anas_undulata,5.5,917,1,0,14
